file_username,file_date,location,frame_ranges
DFlowers,20230323,/ddnsata7/production/Avatar/reel1/VFX/Hydraulx,1260-1262
DFlowers,20230323,/ddnsata7/production/Avatar/reel1/VFX/Hydraulx,1267
DFlowers,20230323,/ddnsata9/production/Avatar/reel1/VFX/AnimalLogic,2850
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,32-34
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,122-123
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,155
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1023
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1111-1112
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1160
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1201-1205
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1211-1214
JJacobs,20230323,/ddnsata7/production/Avatar/reel1/VFX/Hydraulx,1251-1253
JJacobs,20230323,/ddnsata7/production/Avatar/reel1/VFX/Hydraulx,1260
JJacobs,20230323,/ddnsata7/production/Avatar/reel1/VFX/Hydraulx,1270-1272
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1302-1303
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1310
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,1500
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5000-5002
JJacobs,20230323,/ddnsata4/production/Avatar/pickups/shot_1ab/1920x1080,5010-5014
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5111
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5122
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5133
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5144
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5155
JJacobs,20230323,/ddnsata5/production/Avatar/reel1/partA/1920x1080,5166
JJacobs,20230323,/ddnsata4/production/Avatar/pickups/shot_1ab/1920x1080,10001-10002
JJacobs,20230323,/ddnsata4/production/Avatar/pickups/shot_1ab/1920x1080,10008
JJacobs,20230323,/ddnsata4/production/Avatar/pickups/shot_1ab/1920x1080,11113
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12011
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12021
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12031
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12041
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12051
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12111
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12121
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12131
JJacobs,20230323,/ddnsata2/production/Avatar/reel1/partB/1920x1080,12141
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,1
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,300-303
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,1010
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,1111-1113
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,1400-1403
TDanza,20230324,/ddnsata4/production/Avatar/reel2/partA/1920x1080,1405-1408
TDanza,20230324,/ddnsata3/production/Avatar/pickups/shot_2ab/1920x1080,1501-1504
TDanza,20230324,/ddnsata9/production/Avatar/reel2/VFX/AnimalLogic,1637-1639
TDanza,20230324,/ddnsata8/production/Avatar/reel2/VFX/Hydraulx,1800-1801
TDanza,20230324,/ddnsata8/production/Avatar/reel2/VFX/Hydraulx,1911-1913
TDanza,20230324,/ddnsata2/production/Avatar/reel2/partB/1920x1080,4000
TDanza,20230324,/ddnsata2/production/Avatar/reel2/partB/1920x1080,4555-4557
TDanza,20230324,/ddnsata2/production/Avatar/reel2/partB/1920x1080,4601
TDanza,20230324,/ddnsata2/production/Avatar/reel2/partB/1920x1080,4699
TDanza,20230324,/ddnsata3/production/Avatar/pickups/shot_2ab/1920x1080,4755
TDanza,20230324,/ddnsata3/production/Avatar/pickups/shot_2ab/1920x1080,4766
TDanza,20230324,/ddnsata1/production/Avatar/reel2/VFX/Framestore,5122-5125
TDanza,20230324,/ddnsata1/production/Avatar/reel2/VFX/Framestore,5466-5468
TDanza,20230324,/ddnsata9/production/Avatar/reel2/VFX/AnimalLogic,6000
GLopez,20230325,/ddnsata4/production/Avatar/reel3/partA/1920x1080,134-137
GLopez,20230325,/ddnsata1/production/Avatar/pickups/shot_3ab/1920x1080,1045-1046
GLopez,20230325,/ddnsata1/production/Avatar/pickups/shot_3ab/1920x1080,1166-1168
GLopez,20230325,/ddnsata7/production/starwars/reel3/VFX/Hydraulx,3045-3046
GLopez,20230325,/ddnsata9/production/Avatar/reel3/partB/1920x1080,11112
GLopez,20230325,/ddnsata9/production/Avatar/reel3/partB/1920x1080,11114
BBonds,20230327,/ddnsata6/production/Avatar/reel5/partB/1920x1080,4120-4121
BBonds,20230327,/ddnsata6/production/Avatar/reel5/partB/1920x1080,4123-4124
THolland,20230327,/ddnsata2/production/Avatar/reel5/partA/1920x1080,202-204
THolland,20230327,/ddnsata2/production/Avatar/reel5/partA/1920x1080,356-362
THolland,20230327,/ddnsata2/production/Avatar/reel5/partA/1920x1080,401-403
THolland,20230327,/ddnsata2/production/Avatar/reel5/partA/1920x1080,467-468
THolland,20230327,/ddnsata2/production/Avatar/reel5/partA/1920x1080,561-562
THolland,20230327,/ddnsata11/production/Avatar/pickups/shot_5ab/1920x1080,1044-1047
THolland,20230327,/ddnsata9/production/Avatar/reel5/VFX/Hydraulx,2678
THolland,20230327,/ddnsata1/production/Avatar/reel5/VFX/AnimalLogic,3410
THolland,20230327,/ddnsata11/production/Avatar/pickups/shot_5ab/1920x1080,4189
THolland,20230327,/ddnsata11/production/Avatar/pickups/shot_5ab/1920x1080,10800-10803
